Title,Brand,Price,Condition,Retail_Price,Volume,Exterior_Color,Exterior_Material,Interior_Color,Interior_Material,Accessories,Ac_Count
Chanel Coco Top Handle Bag Quilted Caviar Medium,Chanel,4060.0,Very Good,4300.0,540.0,Neutral,Leather,Neutral,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Louis Vuitton Pochette Accessoires Damier Mini,Louis Vuitton,490.0,Good,,24.0,Brown,Canvas Coated,Red,Fabric,['No accessories'],0.0
Fendi Baguette NM Bag Zucca Lycra Medium,Fendi,2885.0,Excellent,,170.625,Pink,Fabric,Pink,Fabric,"['Extra Strap', 'Dust bag', 'Detachable Strap']",3.0
Christian Dior Saddle Handbag Oblique Canvas Mini,Christian Dior,3390.0,Excellent,,96.0,Blue,Canvas (Plain),Neutral,Fabric,['No accessories'],0.0
Hermes Kelly Handbag Natural Sable Clemence with Gold Hardware 32,Hermes,7180.0,Good,,562.5,Yellow,Leather,Yellow,Leather,"['Clochette', 'Keys', 'Lock', 'Detachable Strap']",4.0
Chanel Deauville Tote Lurex Canvas Small,Chanel,2895.0,Excellent,,965.25,"Blue, Gold",Canvas Plain,Blue,Fabric,['Authenticity card'],1.0
Christian Dior Ultra Matte Lady Dior Bag Cannage Quilt Calfskin Medium,Christian Dior,5655.0,Excellent,,304.0,Neutral,Leather,Neutral,Microfiber,"['Dust bag', 'Detachable Strap']",2.0
Chanel Flat Handle Boy Flap Bag Quilted Lambskin Old Medium,Chanel,5110.0,Excellent,,180.0,Neutral,Leather,Neutral,Fabric,['Authenticity card'],1.0
Louis Vuitton Multi Pochette Accessoires Monogram Canvas,Louis Vuitton,2670.0,Excellent,,71.25,Brown,Canvas Coated,Brown,Fabric,"['Extra Bag', 'Extra Strap', 'Pochette', 'Dust bag missing', 'Detachable Strap']",5.0
Chanel Coco Envelope Flap Bag Chevron Leather Medium,Chanel,3345.0,Good,3800.0,127.5,Red,Leather,Red,Leather,"['Dust bag', 'Pochette missing', 'Box', 'Authenticity card']",4.0
Christian Dior Vintage Saddle Bag Diorissimo Canvas Medium,,,,,,,,,,,
Chanel Vintage CC Chain Tote Lambskin XL,Chanel,2555.0,Very Good,,720.0,Black,Leather,Black,Leather,['Authenticity card'],1.0
Chanel Vintage Classic Double Flap Bag Quilted Caviar Medium,,,,,,,,,,,
Christian Dior Rendez Vous Chain Wallet Cannage Quilt Patent,Christian Dior,495.0,Great,730.0,30.0,Pink,Patent Leather,Pink,Leather,"['Charms', 'Detachable Strap']",2.0
Prada Convertible Dual Strap Bowling Bag Vitello Daino Medium,Prada,670.0,Good,2150.0,468.0,Neutral,Leather,Neutral,Fabric,"['Extra Strap missing', 'Detachable Strap missing']",2.0
Chanel Classic Single Flap Bag Quilted Lambskin Mini,Chanel,4355.0,Great,,84.375,Blue,Leather,Blue,Leather,"['Dust bag', 'Authenticity card', 'Box']",3.0
Christian Dior Diorama Wallet on Chain Satin,Christian Dior,1015.0,Great,1850.0,40.0,Black,Satin,Black,Microfiber,"['Dust bag', 'Detachable Strap']",2.0
Prada Front Pocket Camera Bag Tessuto Small,Prada,600.0,Very Good,950.0,85.0,Black,Nylon,Black,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Saint Laurent Classic Monogram Tassel Chain Wallet Leather,Saint Laurent,1015.0,Fair,1690.0,56.25,Brown,Leather,Black,Leather,"['Box', 'Dust bag', 'Detachable Strap']",3.0
Louis Vuitton Saint Jacques Handbag Epi Leather PM,Louis Vuitton,345.0,Fair,1350.0,342.0,Black,Leather,Gray,Microfiber,['No accessories'],0.0
Gucci Ophidia Shoulder Bag Leather Mini,Gucci,845.0,Excellent,990.0,70.0,White,Leather,Neutral,Microfiber,['No accessories'],0.0
Chanel Classic Double Flap Bag Tweed with Denim Medium,Chanel,6110.0,Great,,150.0,"Blue, Pink, Print, Multicolor","Denim, Tweed",Blue,"Leather, Denim",['Authenticity card'],1.0
Chanel Ballerine Flap Bag Quilted Lambskin Medium,,,,,,,,,,,
Chanel Square Classic Single Flap Bag Quilted Lambskin Mini,Chanel,4075.0,Excellent,,97.5,Pink,Leather,Pink,Leather,"['Box', 'Dust bag', 'Authenticity card']",3.0
Saint Laurent Classic Monogram Crossbody Bag Calfskin Medium,Saint Laurent,1340.0,Good,1990.0,114.0,Neutral,Leather,Black,Fabric,['Dust bag'],1.0
Chanel Boy Flap Bag Braided Chevron Cording and Calfskin Old Medium,Chanel,3895.0,Very Good,4800.0,180.0,Green,"Leather, Textile, Leather, Textile",Green,Fabric,['Authenticity card'],1.0
Christian Dior Diorissimo Tote Etoile Canvas Medium,Christian Dior,2215.0,Good,4400.0,506.25,Neutral,Canvas Plain,Black,Leather,"['Pochette', 'Dust bag', 'Detachable Strap missing']",3.0
Chanel Vintage Timeless Zip Around Vanity Case Caviar Small,Chanel,1600.0,Good,,182.0,Black,Leather,Black,Velvet,"['Authenticity card', 'Detachable Strap missing']",2.0
Chanel Coco Top Handle Bag Quilted Caviar Extra Mini,Chanel,4240.0,Excellent,,122.5,Pink,Leather,Pink,Fabric,"['Authenticity card', 'Dust bag', 'Detachable Strap missing']",3.0
Chanel Trendy CC Clutch with Chain Quilted Lambskin Small,Chanel,1830.0,Very Good,,40.5,Pink,Leather,Pink,Fabric,['Authenticity card'],1.0
Chloe Pixie Crossbody Bag Leather with Suede Mini,Chloe,650.0,Excellent,990.0,30.0,Neutral,Leather,Neutral,Suede,['Dust bag'],1.0
Christian Dior Ultra Matte Saddle Handbag Leather Medium,Christian Dior,4270.0,Very Good,,240.0,Black,Leather,Black,Microfiber,['Dust bag'],1.0
Louis Vuitton Delightful NM Handbag Damier MM,Louis Vuitton,1350.0,Good,1440.0,960.0,Brown,Canvas (Coated),Red,Fabric,['Charms'],1.0
Chanel Wallet on Chain Quilted Lambskin,Chanel,2835.0,Great,,35.0,Black,Leather,Red,"Fabric, Leather","['Box', 'Authenticity card']",2.0
Saint Laurent Lou Camera Bag Matelasse Chevron Leather Mini,Saint Laurent,1250.0,Very Good,,47.25,Black,Leather,Black,Leather,['Dust bag'],1.0
Fendi Vintage Pom Pom Bag Zucca Woven Fabric Small,Fendi,410.0,Very Good,,176.0,"Green, Pink",Fabric,Green,Satin,['No accessories'],0.0
Chanel Classic Single Flap Bag Chevron Lambskin Mini,Chanel,4520.0,Great,,100.0,Pink,Leather,Pink,Leather,"['Authenticity card', 'Box', 'Dust bag']",3.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,5210.0,Very Good,6200.0,135.0,Neutral,Leather,Neutral,Leather,"['Dust bag', 'Box', 'Authenticity card']",3.0
Chanel Urban Spirit Backpack Quilted Lambskin Mini,,,,,,,,,,,
Christian Dior Vintage Saddle Bag Leather and Printed Corduroy Medium,Christian Dior,1575.0,Good,,190.0,"Brown, Print","Corduroy, Leather",Brown,Fabric,['No accessories'],0.0
Christian Dior Lady Dior Art Bag Limited Edition Chris Martin Printed Leather Medium,Christian Dior,4145.0,Excellent,5700.0,182.0,"Print, Multicolor",Leather,Black,Leather,"['Dust bag', 'Detachable Strap']",2.0
Prada,Prada,975.0,Very Good,,127.5,Black,Nylon,Black,Fabric,"['Clochette', 'Dust bag', 'Box']",3.0
Louis Vuitton Eva Crossbody Monogram Canvas,Louis Vuitton,1230.0,Good,,75.0,Brown,Canvas (Coated),Brown,Fabric,['Detachable Strap'],1.0
Gucci Children's Animal Tote GG Coated Canvas with Applique Small,Gucci,590.0,Excellent,,256.0,"Blue, Print",Canvas Coated,Red,Nylon,['Dust bag'],1.0
Christian Dior Vintage Saddle Bag Diorissimo Canvas with Patent Medium,Christian Dior,1575.0,Great,,212.5,Black,"Canvas (Plain), Patent Leather",Black,Nylon,['No accessories'],0.0
Chanel Gold Bar Top Handle Bag Quilted Aged Calfskin Medium,Chanel,3165.0,Great,,249.375,Blue,Leather,Blue,Fabric,"['Dust bag', 'Authenticity card']",2.0
Chanel Vintage Classic Single Flap Bag Vertical Quilt Lambskin Jumbo,,,,,,,,,,,
Saint Laurent Monogram Cabas Leather Baby,Saint Laurent,1060.0,Good,1990.0,375.0,Gray,Leather,Gray,Suede,"['Clochette', 'Detachable Strap']",2.0
Chanel Classic Single Flap Bag Quilted Tweed Mini,Chanel,4310.0,Great,,120.0,Neutral,Tweed,Neutral,Leather,['Authenticity card'],1.0
Gucci GG Marmont Round Shoulder Bag Matelasse Leather Mini,Gucci,1505.0,Excellent,,98.0,Black,Leather,Neutral,,['Dust bag'],1.0
Gucci Dionysus Bag GG Velvet Super Mini,Gucci,995.0,Very Good,,39.0,Purple,Leather,Brown,Microfiber,['Detachable Strap'],1.0
Chanel Boy Flap Bag Quilted Lambskin New Medium,Chanel,6190.0,Excellent,,231.0,Black,Leather,Black,Fabric,"['Dust bag', 'Authenticity card']",2.0
Saint Laurent Cassandra Top Handle Bag Leather Mini,Saint Laurent,1905.0,Great,2150.0,112.5,Black,Leather,Red,Leather,"['Dust bag', 'Detachable Strap']",2.0
Christian Dior Saddle Nano Pouch Leather,Christian Dior,870.0,Excellent,,20.25,Blue,Leather,Blue,Leather,['Detachable Strap'],1.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,4145.0,Very Good,6200.0,135.0,Black,Leather,Red,Leather,['Authenticity card'],1.0
Louis Vuitton Mini Boite Chapeau Bag Monogram Canvas,Louis Vuitton,2525.0,Excellent,,62.5,Brown,Canvas Coated,Neutral,Leather,"['Luggage Tag', 'Dust bag', 'Detachable Strap']",3.0
Gucci Queen Margaret Backpack Quilted Leather Small,Gucci,1285.0,Very Good,3150.0,427.5,Black,Leather,Pink,Microfiber,['Luggage Tag'],1.0
Celine Luggage Bag Grainy Leather Micro,Celine,1560.0,Very Good,2900.0,577.5,Blue,Grainy Leather,Blue,Suede,['No accessories'],0.0
Chanel Logo Pearls Chain Flap Bag Quilted Lambskin Medium,Chanel,5575.0,Excellent,,120.0,Black,Leather,Black,Fabric,['Authenticity card'],1.0
Louis Vuitton Pochette Accessoires Epi Leather,Louis Vuitton,375.0,Fair,550.0,47.5,Purple,Leather,Gray,Microfiber,['Detachable Strap'],1.0
Chanel CC Curve Wallet on Chain Quilted Lambskin,Chanel,2210.0,Great,2500.0,37.5,Pink,Leather,Pink,"Leather, Fabric","['Box', 'Dust bag']",2.0
Chanel Square Classic Single Flap Bag Quilted Caviar Mini,Chanel,5770.0,Excellent,,97.5,Yellow,Leather,Yellow,Leather,"['Authenticity card', 'Dust bag']",2.0
Celine Luggage Bag Smooth Leather Micro,Celine,1320.0,Good,2900.0,500.0,Blue,Smooth Leather,Blue,Leather,['No accessories'],0.0
Chanel Vintage Oval CC Tassel Crossbody Bag Suede Mini,Chanel,2515.0,Very Good,2980.0,70.0,Red,Suede,Red,Leather,['Authenticity card'],1.0
Chanel Boy Flap Bag Quilted Lambskin New Medium,Chanel,4280.0,Great,5600.0,220.5,Pink,Leather,Pink,Fabric,"['Box', 'Dust bag']",2.0
Saint Laurent Sunset Crossbody Bag Crocodile Embossed Leather Medium,Saint Laurent,1595.0,Good,2350.0,153.0,Neutral,Leather,Neutral,Suede,['Clochette'],1.0
Saint Laurent Lou Camera Bag Matelasse Chevron Leather Mini,Saint Laurent,1480.0,Excellent,,63.0,Black,Leather,Black,Leather,"['Dust bag', 'Box']",2.0
Christian Dior Book Tote Camo Canvas Mini,Christian Dior,2300.0,Excellent,,102.0,White,Canvas Plain,White,Canvas Interior,['No accessories'],0.0
Hermes Kelly Danse II Bag Evercolor,Hermes,12265.0,Excellent,,165.75,Gray,Leather,Gray,Leather,"['Base Shaper', 'Dust bag', 'Detachable Strap']",3.0
Chanel Graphic Flap Bag Quilted Calfskin Mini,Chanel,2320.0,Great,3100.0,82.5,Red,Leather,Black,Fabric,"['Dust bag', 'Authenticity card']",2.0
Chanel 3 Flap Bag Quilted Lambskin Mini,Chanel,2915.0,Very Good,,146.25,Red,Leather,Red,Fabric,"['Box', 'Dust bag', 'Authenticity card']",3.0
Louis Vuitton Vavin Handbag Damier with Leather PM,Louis Vuitton,2300.0,Great,,210.0,"Black, Brown","Canvas Coated, Leather",Black,Microfiber,['No accessories'],0.0
Hermes Birkin Handbag Malachite Togo with Gold Hardware 35,Hermes,16145.0,Great,,945.0,Green,Leather,Green,Leather,"['Clochette', 'Keys', 'Lock', 'Box', 'Dust bag']",5.0
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1305.0,Good,,123.75,Black,Leather,Black,Fabric,['Detachable Strap'],1.0
Louis Vuitton Boite Chapeau Souple Bag Monogram Canvas PM,Louis Vuitton,1960.0,Excellent,,126.75,Brown,Canvas Coated,Neutral,Microfiber,['No accessories'],0.0
Gucci Dionysus Bag GG Tweed Small,Gucci,2550.0,Great,,178.75,"Black, Print, Red, White",Tweed,Neutral,Microfiber,['Dust bag'],1.0
