Title,Brand,Price,Condition,Retail_Price,Volume,Exterior Color,Exterior Material,Interior Color,Interior Material,Accessories
Chanel Boy Flap Bag Quilted Caviar Old Medium,Chanel,4815.0,Pristine,,165.0,Pink,Leather,Pink,Fabric,"['Box', 'Dust bag', 'Authenticity card']"
Chanel Coco Top Handle Bag Quilted Caviar Medium,,,,,,,,,,[]
Christian Dior Saddle Handbag Oblique Canvas Medium,,,,,,,,,,[]
Prada Promenade Bag Saffiano Leather Mini,,,,,,,,,,[]
Christian Dior Saddle Handbag Oblique Canvas Mini,Christian Dior,3390.0,Excellent,,96.0,Blue,Canvas (Plain),Neutral,Fabric,['No accessories']
Fendi Baguette NM Bag Zucca Lycra Medium,,,,,,,,,,[]
Balenciaga City Rubber Studs Bag Leather Mini,Balenciaga,610.0,Good,1275.0,171.0,Pink,Leather,Black,Fabric,"['Mirror', 'Dust bag', 'Detachable Strap missing']"
Louis Vuitton Multi Pochette Accessoires Monogram Canvas,Louis Vuitton,2940.0,Excellent,,71.25,Brown,Canvas Coated,Brown,Fabric,"['Extra Bag', 'Extra Strap', 'Pochette', 'Box', 'Dust bag', 'Detachable Strap']"
Louis Vuitton Pochette Accessoires Damier Mini,Louis Vuitton,490.0,Good,,24.0,Brown,Canvas Coated,Red,Fabric,['No accessories']
Hermes Kelly Handbag Natural Sable Clemence with Gold Hardware 32,Hermes,7180.0,Good,,562.5,Yellow,Leather,Yellow,Leather,"['Clochette', 'Keys', 'Lock', 'Detachable Strap']"
Chanel Flat Handle Boy Flap Bag Quilted Lambskin Old Medium,Chanel,5110.0,Excellent,,180.0,Neutral,Leather,Neutral,Fabric,['Authenticity card']
Chanel Deauville Tote Lurex Canvas Small,Chanel,2895.0,Excellent,,965.25,"Blue, Gold",Canvas Plain,Blue,Fabric,['Authenticity card']
Christian Dior Ultra Matte Lady Dior Bag Cannage Quilt Calfskin Medium,Christian Dior,5655.0,Excellent,,304.0,Neutral,Leather,Neutral,Microfiber,"['Dust bag', 'Detachable Strap']"
Louis Vuitton Multi Pochette Accessoires Monogram Canvas,Louis Vuitton,2670.0,Excellent,,71.25,Brown,Canvas Coated,Brown,Fabric,"['Extra Bag', 'Extra Strap', 'Pochette', 'Dust bag missing', 'Detachable Strap']"
Christian Dior Diorama Wallet on Chain Satin,Christian Dior,1015.0,Great,1850.0,40.0,Black,Satin,Black,Microfiber,"['Dust bag', 'Detachable Strap']"
Chanel Coco Envelope Flap Bag Chevron Leather Medium,Chanel,3345.0,Good,3800.0,127.5,Red,Leather,Red,Leather,"['Dust bag', 'Pochette missing', 'Box', 'Authenticity card']"
Hermes Vintage Cadena Top Handle Bag Box Calf,Hermes,2110.0,Very Good,,154.0,Black,Leather,Black,Leather,['No accessories']
Saint Laurent Classic Monogram Tassel Chain Wallet Leather,Saint Laurent,1015.0,Fair,1690.0,56.25,Brown,Leather,Black,Leather,"['Box', 'Dust bag', 'Detachable Strap']"
Saint Laurent Rive Gauche Shopper Tote Canvas Large,Saint Laurent,1015.0,Very Good,,1813.0,Neutral,Canvas (Plain),Neutral,Canvas Interior,['Dust bag']
